Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/filters.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/filters.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/filters.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/filters.eda.nokia.com/v1/controlplanefilters,GET,com.nokia.eda.filters.v1.ControlPlaneFilterList,,false,false,false
/apps/filters.eda.nokia.com/v1/filters,GET,com.nokia.eda.filters.v1.FilterList,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters,DELETE,com.nokia.eda.filters.v1.ControlPlaneFilterList,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters,GET,com.nokia.eda.filters.v1.ControlPlaneFilterList,control_plane_filter_list,true,true,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters,POST,com.nokia.eda.filters.v1.ControlPlaneFilter,control_plane_filter,true,false,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters/_deleted,GET,com.nokia.eda.filters.v1.ControlPlaneFilter_DeletedResources,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters/{name},DELETE,Status,control_plane_filter,true,false,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters/{name},GET,com.nokia.eda.filters.v1.ControlPlaneFilter,control_plane_filter,true,true,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters/{name},PATCH,com.nokia.eda.filters.v1.ControlPlaneFilter,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters/{name},PUT,com.nokia.eda.filters.v1.ControlPlaneFilter,control_plane_filter,true,false,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/controlplanefilters/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters,DELETE,com.nokia.eda.filters.v1.FilterList,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters,GET,com.nokia.eda.filters.v1.FilterList,filter_list,true,true,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters,POST,com.nokia.eda.filters.v1.Filter,filter,true,false,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters/_deleted,GET,com.nokia.eda.filters.v1.Filter_DeletedResources,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters/{name},DELETE,Status,filter,true,false,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters/{name},GET,com.nokia.eda.filters.v1.Filter,filter,true,true,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters/{name},PATCH,com.nokia.eda.filters.v1.Filter,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters/{name},PUT,com.nokia.eda.filters.v1.Filter,filter,true,false,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/filters/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets,DELETE,com.nokia.eda.filters.v1.PrefixSetList,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets,GET,com.nokia.eda.filters.v1.PrefixSetList,prefix_set_list,true,true,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets,POST,com.nokia.eda.filters.v1.PrefixSet,prefix_set,true,false,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets/_deleted,GET,com.nokia.eda.filters.v1.PrefixSet_DeletedResources,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets/{name},DELETE,Status,prefix_set,true,false,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets/{name},GET,com.nokia.eda.filters.v1.PrefixSet,prefix_set,true,true,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets/{name},PATCH,com.nokia.eda.filters.v1.PrefixSet,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets/{name},PUT,com.nokia.eda.filters.v1.PrefixSet,prefix_set,true,false,true
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/filters.eda.nokia.com/v1/namespaces/{namespace}/prefixsets/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/filters.eda.nokia.com/v1/prefixsets,GET,com.nokia.eda.filters.v1.PrefixSetList,,false,false,false
